Supplier ID,Supplier Name,Amount
105239,1st Class Carriage,"10,076.00"
3319301,3C environmental technology Ltd,"37,479.70"
105096,3c Technology Limited,776.25
2108401,3M United Kingdom Plc,"1,225.62"
111511,5K Security,717.6
92504,A A Clark Ltd,"2,997.79"
2378001,A1 Radio Taxis,"1,878.00"
108946,A1 Services (Southern) Ltd,727.4
2395801,A2B Taxis,"2,398.00"
101709,A2Z Computer Products Ltd,"17,522.21"
4380101,Abba Cars,"133,727.17"
111523,Abbey Community Services Ltd,"2,130.54"
100448,Ability Associates Ltd,"43,329.60"
970601,Able Sunblinds,796.43
107115,Access Infrastructure,"114,182.68"
108168,ACIS,"35,192.19"
3911401,Acorn Commercial Cleaning,"1,469.10"
111681,ACS Consulting (London),"9,350.00"
100739,Actel Blinds and Awnings,"1,009.63"
2407101,Action For Blind People,"1,490.95"
107677,Active Security,676.36
111802,Adams & Wade (Maidenhead) Limited,"78,140.04"
112218,Add Zest Marketing,"5,448.53"
106981,Addlestone Lodge,"5,892.94"
105893,Adelante Software Limited,"11,907.38"
4350301,Adem Limited,"2,313.80"
100446,Adoption UK,"1,610.00"
598301,Adspay Ltd,"1,570.00"
132901,ADT Fire & Security,"1,408.72"
332701,Advance Housing & Support Ltd,"83,448.30"
3591601,Advanced Marking Services Limited,"1,769.23"
185708,Age Concern Slough,"8,669.13"
4139701,Agresso Limited,"85,993.77"
108137,Airwave Solutions Ltd,"1,034.90"
2115001,Alarm,747.5
111634,Albany House,"20,000.00"
111661,Aldwick Residential Care Home,"6,160.00"
105196,Alexandra Plc,"1,039.93"
62201,Alfia Limited,"3,357.01"
2406301,All Saints Pre-School,"5,829.00"
50101,Allen Roofing Contractors Ltd,"6,534.00"
101110,Alliance Publishing Company,"1,759.50"
105473,Alma Supported Lodgings for Young People,"46,323.31"
108945,ALP Electrical (Maidenhead) Limited,"11,836.19"
2952302,Alzheimers Society - Maidenhead Branch,"11,125.00"
503401,Ambassador Catering (Henley) Co Ltd,"5,757.30"
102775,Amberley (U.K)LTD,"1,993.90"
3601,Ambleglow Ltd,"129,665.43"
112176,Ambroplastics Limited,"1,389.18"
2723301,Amersham And Wycombe College,620
3093501,Analystic Limited,"11,270.00"
106979,Angels Pre-School,"12,873.60"
101738,Anglo Financial Services (AFS),"2,219.27"
111059,Animal Dramatics Ltd,"2,760.00"
105066,ANS Group Plc,"41,519.99"
103637,Anson (UK) Ltd,"4,855.98"
2072601,APAK Barcode Readers Ltd,"6,134.11"
2396701,Apollo Cars,"50,516.97"
100747,Apple Travel Ltd,"2,261.00"
259301,Applegarth Residential Home,"17,271.13"
4093101,Apyco,570
101744,AQA,"11,384.45"
103073,AQA,"1,810.25"
111837,ARA Addiction Recovery Agency,"7,790.71"
101746,Archway Lawnmowers,909.28
105688,Arena Fire Systems,"48,104.50"
108424,Arena Seating Ltd,"2,765.76"
3924601,Argos Business Solutions,"1,535.31"
90501,Argos Distribution Ltd,"2,486.50"
90502,Argos Ltd trading as Argos Business Solutions,"1,783.08"
2441501,Arka Cartographics Limited,"4,700.00"
353601,Arkell & Hurcombe,654.55
112173,Armadillo Electronics,595.7
2519602,Arriva The Shires And Essex,"11,969.91"
